Format Version,1.21,Take Name,inflar cachete izquierdo,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.18.20.579 AM,Total Frames in Take,3188,Total Exported Frames,3188,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:457,Unlabeled:457,Unlabeled:457,Unlabeled:464,Unlabeled:464,Unlabeled:464,Unlabeled:470,Unlabeled:470,Unlabeled:470,Unlabeled:639,Unlabeled:639,Unlabeled:639,Unlabeled:703,Unlabeled:703,Unlabeled:703,Unlabeled:721,Unlabeled:721,Unlabeled:721,Unlabeled:722,Unlabeled:722,Unlabeled:722,Unlabeled:723,Unlabeled:723,Unlabeled:723,Unlabeled:726,Unlabeled:726,Unlabeled:726,Unlabeled:728,Unlabeled:728,Unlabeled:728,Unlabeled:729,Unlabeled:729,Unlabeled:729,Unlabeled:731,Unlabeled:731,Unlabeled:731,Unlabeled:733,Unlabeled:733,Unlabeled:733,Unlabeled:739,Unlabeled:739,Unlabeled:739,Unlabeled:740,Unlabeled:740,Unlabeled:740,Unlabeled:741,Unlabeled:741,Unlabeled:741,Unlabeled:742,Unlabeled:742,Unlabeled:742,Unlabeled:745,Unlabeled:745,Unlabeled:745,Unlabeled:751,Unlabeled:751,Unlabeled:751
,,"8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702EF","8392B20CF49E35702EF","8392B20CF49E35702EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.158123,0.316520,0.179045,-0.176037,0.240335,0.180817,-0.174459,0.216687,0.184100,-0.184339,0.317854,0.179117,-0.217676,0.259279,0.200690,-0.170109,0.310441,0.180353,-0.132577,0.258002,0.199315,-0.197797,0.218957,0.189366,-0.176558,0.191519,0.181585,-0.215592,0.323903,0.193029,-0.122970,0.230841,0.210372,-0.226305,0.230389,0.210233,-0.231461,0.294329,0.216106,-0.175634,0.263010,0.164277,-0.198618,0.239117,0.188024,-0.126688,0.319660,0.195223,-0.115596,0.289702,0.216564,-0.154974,0.219145,0.190199,-0.152984,0.235896,0.187461
1,0.011111,-0.158055,0.316511,0.179077,-0.175993,0.240342,0.180822,-0.174432,0.216692,0.184097,-0.184305,0.317850,0.179100,-0.217600,0.259290,0.200659,-0.170039,0.310403,0.180291,-0.132476,0.257964,0.199281,-0.197767,0.218959,0.189363,-0.176532,0.191526,0.181606,-0.215551,0.323906,0.193000,-0.122943,0.230853,0.210372,-0.226277,0.230398,0.210218,-0.231424,0.294338,0.216073,-0.175601,0.263008,0.164268,-0.198587,0.239120,0.188017,-0.126654,0.319657,0.195212,-0.115567,0.289704,0.216560,-0.154932,0.219150,0.190189,-0.152952,0.235896,0.187454
2,0.022222,-0.158020,0.316503,0.179057,-0.175932,0.240324,0.180834,-0.174374,0.216663,0.184142,-0.184247,0.317815,0.179082,-0.217574,0.259292,0.200641,-0.170003,0.310397,0.180273,-0.132447,0.257959,0.199283,-0.197721,0.218956,0.189380,-0.176494,0.191510,0.181599,-0.215512,0.323901,0.192971,-0.122909,0.230845,0.210389,-0.226244,0.230399,0.210208,-0.231390,0.294339,0.216044,-0.175564,0.263000,0.164263,-0.198527,0.239111,0.188032,-0.126622,0.319655,0.195196,-0.115533,0.289698,0.216564,-0.154903,0.219145,0.190203,-0.152916,0.235890,0.187455
3,0.033333,-0.157959,0.316494,0.179070,-0.175901,0.240313,0.180793,-0.174373,0.216676,0.184073,-0.184196,0.317805,0.179024,-0.217542,0.259286,0.200624,-0.169966,0.310385,0.180268,-0.132416,0.257948,0.199280,-0.197676,0.218947,0.189324,-0.176441,0.191499,0.181584,-0.215473,0.323890,0.192949,-0.122870,0.230828,0.210420,-0.226209,0.230390,0.210217,-0.231349,0.294332,0.215999,-0.175475,0.262983,0.164246,-0.198484,0.239092,0.188010,-0.126581,0.319634,0.195179,-0.115498,0.289688,0.216563,-0.154873,0.219142,0.190216,-0.152878,0.235872,0.187476
4,0.044444,-0.157911,0.316473,0.179032,-0.175858,0.240308,0.180801,-0.174312,0.216653,0.184112,-0.184164,0.317794,0.179006,-0.217503,0.259262,0.200637,-0.169917,0.310351,0.180268,-0.132356,0.257936,0.199266,-0.197639,0.218941,0.189319,-0.176402,0.191486,0.181590,-0.215438,0.323877,0.192923,-0.122842,0.230814,0.210445,-0.226173,0.230379,0.210210,-0.231317,0.294325,0.215972,-0.175401,0.262944,0.164291,-0.198452,0.239081,0.188003,-0.126548,0.319620,0.195169,-0.115469,0.289678,0.216562,-0.154841,0.219136,0.190221,-0.152840,0.235858,0.187479
5,0.055556,-0.157884,0.316460,0.179024,-0.175792,0.240297,0.180784,-0.174266,0.216649,0.184119,-0.184080,0.317775,0.178985,-0.217477,0.259246,0.200588,-0.169879,0.310347,0.180219,-0.132324,0.257931,0.199265,-0.197584,0.218931,0.189297,-0.176356,0.191478,0.181605,-0.215405,0.323863,0.192896,-0.122778,0.230789,0.210469,-0.226129,0.230359,0.210219,-0.231288,0.294317,0.215943,-0.175365,0.262930,0.164289,-0.198412,0.239071,0.187998,-0.126512,0.319609,0.195155,-0.115434,0.289671,0.216596,-0.154789,0.219132,0.190217,-0.152811,0.235848,0.187481
