Format Version,1.21,Take Name,alzar cejas2,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.15.05.235 AM,Total Frames in Take,3184,Total Exported Frames,3184,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:457,Unlabeled:457,Unlabeled:457,Unlabeled:464,Unlabeled:464,Unlabeled:464,Unlabeled:470,Unlabeled:470,Unlabeled:470,Unlabeled:639,Unlabeled:639,Unlabeled:639,Unlabeled:703,Unlabeled:703,Unlabeled:703,Unlabeled:721,Unlabeled:721,Unlabeled:721,Unlabeled:722,Unlabeled:722,Unlabeled:722,Unlabeled:723,Unlabeled:723,Unlabeled:723,Unlabeled:726,Unlabeled:726,Unlabeled:726,Unlabeled:728,Unlabeled:728,Unlabeled:728,Unlabeled:729,Unlabeled:729,Unlabeled:729,Unlabeled:731,Unlabeled:731,Unlabeled:731,Unlabeled:733,Unlabeled:733,Unlabeled:733,Unlabeled:739,Unlabeled:739,Unlabeled:739,Unlabeled:740,Unlabeled:740,Unlabeled:740,Unlabeled:741,Unlabeled:741,Unlabeled:741,Unlabeled:742,Unlabeled:742,Unlabeled:742,Unlabeled:745,Unlabeled:745,Unlabeled:745,Unlabeled:751,Unlabeled:751,Unlabeled:751
,,"8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702EF","8392B20CF49E35702EF","8392B20CF49E35702EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.170368,0.322451,0.200075,-0.185376,0.245630,0.200937,-0.182346,0.221310,0.204149,-0.196898,0.322958,0.201546,-0.226766,0.262616,0.222544,-0.182224,0.315835,0.201496,-0.141998,0.264616,0.217898,-0.205778,0.222682,0.210021,-0.184155,0.196627,0.201068,-0.227775,0.327417,0.216494,-0.131258,0.237626,0.228299,-0.234061,0.233402,0.231749,-0.241523,0.297052,0.239064,-0.186680,0.268594,0.184539,-0.207179,0.243126,0.208975,-0.138014,0.326157,0.215322,-0.125428,0.296525,0.235324,-0.163118,0.224931,0.208907,-0.162103,0.242121,0.206727
1,0.011111,-0.170334,0.322452,0.200084,-0.185315,0.245638,0.200926,-0.182302,0.221321,0.204188,-0.196859,0.322963,0.201554,-0.226739,0.262626,0.222537,-0.182170,0.315853,0.201508,-0.141974,0.264614,0.217919,-0.205749,0.222683,0.210006,-0.184134,0.196648,0.201080,-0.227730,0.327429,0.216473,-0.131236,0.237622,0.228314,-0.234035,0.233414,0.231738,-0.241490,0.297067,0.239056,-0.186642,0.268599,0.184540,-0.207130,0.243134,0.208966,-0.137972,0.326156,0.215340,-0.125382,0.296510,0.235373,-0.163089,0.224931,0.208905,-0.162074,0.242136,0.206736
2,0.022222,-0.170271,0.322433,0.200115,-0.185288,0.245614,0.200957,-0.182261,0.221307,0.204202,-0.196804,0.322953,0.201573,-0.226711,0.262634,0.222534,-0.182133,0.315856,0.201515,-0.141945,0.264610,0.217931,-0.205720,0.222690,0.210003,-0.184108,0.196650,0.201083,-0.227684,0.327441,0.216466,-0.131216,0.237620,0.228333,-0.234001,0.233429,0.231722,-0.241456,0.297081,0.239044,-0.186592,0.268585,0.184560,-0.207096,0.243145,0.208962,-0.137932,0.326152,0.215356,-0.125349,0.296508,0.235397,-0.163052,0.224932,0.208880,-0.162043,0.242142,0.206740
3,0.033333,-0.170214,0.322428,0.200172,-0.185246,0.245658,0.200929,-0.182232,0.221313,0.204204,-0.196769,0.322963,0.201573,-0.226685,0.262644,0.222522,-0.182078,0.315855,0.201522,-0.141933,0.264594,0.217941,-0.205692,0.222692,0.209996,-0.184066,0.196655,0.201095,-0.227642,0.327456,0.216464,-0.131194,0.237614,0.228351,-0.233975,0.233440,0.231714,-0.241406,0.297090,0.239041,-0.186551,0.268592,0.184563,-0.207069,0.243152,0.208960,-0.137895,0.326150,0.215371,-0.125349,0.296503,0.235616,-0.163020,0.224927,0.208879,-0.162014,0.242149,0.206767
4,0.044444,-0.170156,0.322428,0.200175,-0.185225,0.245668,0.200929,-0.182203,0.221325,0.204201,-0.196736,0.322957,0.201542,-0.226661,0.262656,0.222516,-0.182054,0.315881,0.201540,-0.141873,0.264597,0.217927,-0.205677,0.222712,0.209971,-0.184027,0.196689,0.201103,-0.227591,0.327477,0.216457,-0.131165,0.237614,0.228397,-0.233954,0.233454,0.231711,-0.241376,0.297107,0.239029,-0.186520,0.268601,0.184559,-0.207027,0.243150,0.208961,-0.137855,0.326154,0.215382,-0.125320,0.296500,0.235633,-0.162997,0.224928,0.208881,-0.161989,0.242156,0.206767
5,0.055556,-0.170126,0.322436,0.200177,-0.185200,0.245677,0.200929,-0.182187,0.221330,0.204197,-0.196682,0.322989,0.201544,-0.226627,0.262679,0.222519,-0.182022,0.315890,0.201546,-0.141817,0.264594,0.217961,-0.205660,0.222723,0.209963,-0.183987,0.196676,0.201112,-0.227555,0.327493,0.216456,-0.131147,0.237610,0.228411,-0.233932,0.233467,0.231700,-0.241361,0.297135,0.239004,-0.186487,0.268635,0.184578,-0.207009,0.243162,0.208955,-0.137823,0.326157,0.215393,-0.125296,0.296496,0.235650,-0.162972,0.224931,0.208878,-0.161969,0.242163,0.206775
