Format Version,1.21,Take Name,boca u1,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.05.59.136 AM,Total Frames in Take,3198,Total Exported Frames,3198,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:662,Unlabeled:662,Unlabeled:662,Unlabeled:663,Unlabeled:663,Unlabeled:663,Unlabeled:666,Unlabeled:666,Unlabeled:666,Unlabeled:667,Unlabeled:667,Unlabeled:667,Unlabeled:668,Unlabeled:668,Unlabeled:668,Unlabeled:670,Unlabeled:670,Unlabeled:670,Unlabeled:672,Unlabeled:672,Unlabeled:672,Unlabeled:673,Unlabeled:673,Unlabeled:673,Unlabeled:676,Unlabeled:676,Unlabeled:676,Unlabeled:677,Unlabeled:677,Unlabeled:677,Unlabeled:678,Unlabeled:678,Unlabeled:678,Unlabeled:683,Unlabeled:683,Unlabeled:683,Unlabeled:684,Unlabeled:684,Unlabeled:684,Unlabeled:685,Unlabeled:685,Unlabeled:685,Unlabeled:686,Unlabeled:686,Unlabeled:686,Unlabeled:687,Unlabeled:687,Unlabeled:687
,,"8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AD","8392B20CF49E35702AD","8392B20CF49E35702AD","8392B20CF49E35702AE","8392B20CF49E35702AE","8392B20CF49E35702AE","8392B20CF49E35702AF","8392B20CF49E35702AF","8392B20CF49E35702AF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.147327,0.321008,0.183891,-0.216277,0.218646,0.177060,-0.178797,0.318302,0.167403,-0.191142,0.218144,0.171787,-0.195275,0.242344,0.168316,-0.236961,0.325054,0.181487,-0.245406,0.230163,0.196825,-0.237071,0.259429,0.187949,-0.205370,0.319630,0.167661,-0.151775,0.260476,0.186347,-0.141210,0.233450,0.197722,-0.171357,0.237869,0.175512,-0.217399,0.239239,0.175442,-0.171533,0.221352,0.179195,,,,,,
1,0.011111,-0.147408,0.321001,0.183872,-0.216313,0.218613,0.177011,-0.178839,0.318284,0.167384,-0.191143,0.218103,0.171633,-0.195323,0.242316,0.168287,-0.237019,0.325014,0.181488,-0.245416,0.230123,0.196865,-0.237097,0.259397,0.187943,-0.205413,0.319607,0.167646,-0.151891,0.260448,0.186328,-0.141280,0.233416,0.197655,-0.171431,0.237850,0.175455,-0.217436,0.239198,0.175452,-0.171587,0.221281,0.179130,,,,,,
2,0.022222,-0.147446,0.320972,0.183838,-0.216356,0.218562,0.177022,-0.178881,0.318273,0.167354,-0.191184,0.218047,0.171438,-0.195374,0.242302,0.168229,-0.237072,0.324980,0.181435,-0.245436,0.230080,0.196845,-0.237149,0.259355,0.187930,-0.205464,0.319551,0.167655,-0.151990,0.260411,0.186494,-0.141339,0.233350,0.197614,-0.171487,0.237817,0.175418,-0.217471,0.239168,0.175438,-0.171680,0.221157,0.179127,,,,,,
3,0.033333,-0.147481,0.320922,0.183792,-0.216414,0.218519,0.177024,-0.178957,0.318241,0.167275,-0.191231,0.218017,0.171413,-0.195421,0.242247,0.168226,-0.237097,0.324947,0.181419,-0.245465,0.230044,0.196842,-0.237224,0.259337,0.187884,-0.205507,0.319521,0.167592,-0.152025,0.260324,0.186549,-0.141451,0.233270,0.197705,-0.171547,0.237765,0.175403,-0.217526,0.239120,0.175405,-0.171736,0.221096,0.178985,,,,,,
4,0.044444,-0.147482,0.320858,0.183758,-0.216431,0.218451,0.177048,-0.178986,0.318189,0.167246,-0.191315,0.217943,0.171477,-0.195456,0.242205,0.168216,-0.237083,0.324871,0.181524,-0.245491,0.230011,0.196834,-0.237247,0.259310,0.187879,-0.205523,0.319483,0.167581,-0.151999,0.260256,0.186329,-0.141524,0.233193,0.197683,-0.171649,0.237649,0.175532,-0.217557,0.239059,0.175427,-0.171791,0.220985,0.178893,,,,,,
5,0.055556,-0.147484,0.320796,0.183726,-0.216504,0.218398,0.177051,-0.178990,0.318148,0.167227,-0.191393,0.217900,0.171509,-0.195488,0.242165,0.168166,-0.237123,0.324861,0.181387,-0.245518,0.229974,0.196844,-0.237260,0.259282,0.187870,-0.205524,0.319450,0.167560,-0.152090,0.260161,0.186537,-0.141591,0.233094,0.197670,-0.171686,0.237607,0.175475,-0.217605,0.239018,0.175445,-0.171849,0.220873,0.178871,,,,,,
