Format Version,1.21,Take Name,boca u2,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.19.06.729 AM,Total Frames in Take,3170,Total Exported Frames,3170,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:457,Unlabeled:457,Unlabeled:457,Unlabeled:464,Unlabeled:464,Unlabeled:464,Unlabeled:470,Unlabeled:470,Unlabeled:470,Unlabeled:639,Unlabeled:639,Unlabeled:639,Unlabeled:703,Unlabeled:703,Unlabeled:703,Unlabeled:721,Unlabeled:721,Unlabeled:721,Unlabeled:722,Unlabeled:722,Unlabeled:722,Unlabeled:723,Unlabeled:723,Unlabeled:723,Unlabeled:726,Unlabeled:726,Unlabeled:726,Unlabeled:728,Unlabeled:728,Unlabeled:728,Unlabeled:729,Unlabeled:729,Unlabeled:729,Unlabeled:731,Unlabeled:731,Unlabeled:731,Unlabeled:733,Unlabeled:733,Unlabeled:733,Unlabeled:739,Unlabeled:739,Unlabeled:739,Unlabeled:740,Unlabeled:740,Unlabeled:740,Unlabeled:741,Unlabeled:741,Unlabeled:741,Unlabeled:742,Unlabeled:742,Unlabeled:742,Unlabeled:745,Unlabeled:745,Unlabeled:745,Unlabeled:751,Unlabeled:751,Unlabeled:751
,,"8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702EF","8392B20CF49E35702EF","8392B20CF49E35702EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.167376,0.312541,0.186235,-0.184422,0.236751,0.185071,-0.182502,0.212939,0.187987,-0.193459,0.314171,0.187994,-0.225237,0.254380,0.208065,-0.179120,0.306744,0.187765,-0.140550,0.253711,0.202814,-0.206049,0.214478,0.194327,-0.185107,0.188165,0.183851,-0.223738,0.318361,0.203364,-0.130517,0.226045,0.212330,-0.233725,0.225115,0.216741,-0.238743,0.288766,0.225761,-0.185078,0.260444,0.169708,-0.206498,0.234516,0.193611,-0.135617,0.314168,0.201213,-0.122628,0.284648,0.220624,-0.162952,0.214997,0.192625,-0.161461,0.232119,0.190742
1,0.011111,-0.167340,0.312551,0.186240,-0.184387,0.236773,0.185071,-0.182475,0.212955,0.187982,-0.193425,0.314187,0.187991,-0.225170,0.254391,0.208086,-0.179085,0.306758,0.187761,-0.140529,0.253716,0.202812,-0.206026,0.214488,0.194319,-0.185063,0.188158,0.183792,-0.223697,0.318384,0.203330,-0.130496,0.226042,0.212338,-0.233701,0.225134,0.216731,-0.238707,0.288784,0.225731,-0.185051,0.260457,0.169701,-0.206474,0.234533,0.193600,-0.135573,0.314175,0.201225,-0.122594,0.284649,0.220662,-0.162928,0.214999,0.192625,-0.161430,0.232134,0.190771
2,0.022222,-0.167266,0.312556,0.186306,-0.184361,0.236783,0.185064,-0.182446,0.212972,0.187978,-0.193371,0.314205,0.187983,-0.225143,0.254403,0.208077,-0.179048,0.306771,0.187749,-0.140499,0.253719,0.202816,-0.206004,0.214499,0.194300,-0.185039,0.188181,0.183777,-0.223659,0.318402,0.203315,-0.130466,0.226046,0.212340,-0.233674,0.225158,0.216709,-0.238670,0.288798,0.225712,-0.185015,0.260469,0.169693,-0.206425,0.234547,0.193578,-0.135518,0.314176,0.201243,-0.122562,0.284652,0.220670,-0.162893,0.215000,0.192618,-0.161371,0.232151,0.190730
3,0.033333,-0.167209,0.312574,0.186292,-0.184321,0.236812,0.185025,-0.182408,0.212979,0.187969,-0.193343,0.314218,0.187975,-0.225118,0.254416,0.208068,-0.178992,0.306769,0.187719,-0.140476,0.253726,0.202810,-0.205979,0.214504,0.194288,-0.185004,0.188208,0.183753,-0.223613,0.318412,0.203309,-0.130429,0.226044,0.212366,-0.233639,0.225179,0.216669,-0.238637,0.288821,0.225677,-0.184984,0.260481,0.169682,-0.206397,0.234560,0.193564,-0.135464,0.314177,0.201258,-0.122534,0.284654,0.220676,-0.162856,0.215004,0.192608,-0.161318,0.232144,0.190771
4,0.044444,-0.167157,0.312560,0.186296,-0.184293,0.236817,0.185016,-0.182375,0.212986,0.187965,-0.193311,0.314227,0.187967,-0.225093,0.254425,0.208049,-0.178942,0.306814,0.187741,-0.140451,0.253730,0.202805,-0.205954,0.214509,0.194264,-0.184973,0.188216,0.183723,-0.223558,0.318422,0.203308,-0.130401,0.226048,0.212364,-0.233610,0.225188,0.216641,-0.238603,0.288833,0.225657,-0.184967,0.260509,0.169663,-0.206369,0.234569,0.193545,-0.135430,0.314182,0.201254,-0.122501,0.284658,0.220687,-0.162808,0.215006,0.192585,-0.161282,0.232152,0.190758
5,0.055556,-0.167129,0.312567,0.186286,-0.184271,0.236822,0.185007,-0.182339,0.212998,0.187949,-0.193267,0.314218,0.187992,-0.225067,0.254432,0.208031,-0.178912,0.306814,0.187728,-0.140430,0.253730,0.202795,-0.205918,0.214509,0.194221,-0.184940,0.188232,0.183710,-0.223524,0.318421,0.203295,-0.130371,0.226048,0.212362,-0.233579,0.225193,0.216616,-0.238574,0.288839,0.225640,-0.184925,0.260493,0.169667,-0.206341,0.234573,0.193534,-0.135392,0.314183,0.201251,-0.122473,0.284653,0.220679,-0.162753,0.214986,0.192585,-0.161249,0.232155,0.190749
