Format Version,1.21,Take Name,Fruncir ceno1,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.02.21.032 AM,Total Frames in Take,3197,Total Exported Frames,3197,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:662,Unlabeled:662,Unlabeled:662,Unlabeled:663,Unlabeled:663,Unlabeled:663,Unlabeled:666,Unlabeled:666,Unlabeled:666,Unlabeled:667,Unlabeled:667,Unlabeled:667,Unlabeled:668,Unlabeled:668,Unlabeled:668,Unlabeled:670,Unlabeled:670,Unlabeled:670,Unlabeled:672,Unlabeled:672,Unlabeled:672,Unlabeled:673,Unlabeled:673,Unlabeled:673,Unlabeled:676,Unlabeled:676,Unlabeled:676,Unlabeled:677,Unlabeled:677,Unlabeled:677,Unlabeled:678,Unlabeled:678,Unlabeled:678,Unlabeled:683,Unlabeled:683,Unlabeled:683,Unlabeled:684,Unlabeled:684,Unlabeled:684,Unlabeled:685,Unlabeled:685,Unlabeled:685
,,"8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AD","8392B20CF49E35702AD","8392B20CF49E35702AD"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.155839,0.327285,0.181649,-0.221689,0.220016,0.174043,-0.188010,0.322520,0.164927,-0.197017,0.220654,0.167229,-0.201830,0.243799,0.164831,-0.246630,0.325705,0.179448,-0.250933,0.229792,0.193143,-0.244185,0.259578,0.184170,-0.214812,0.322532,0.165202,-0.158853,0.263826,0.183058,-0.147781,0.236902,0.193728,-0.178105,0.240487,0.171362,-0.223944,0.240231,0.171639,-0.178018,0.223516,0.174477
1,0.011111,-0.155856,0.327289,0.181646,-0.221700,0.219998,0.174037,-0.188021,0.322519,0.164926,-0.197027,0.220640,0.167243,-0.201820,0.243805,0.164776,-0.246641,0.325702,0.179448,-0.250937,0.229781,0.193150,-0.244192,0.259570,0.184172,-0.214824,0.322531,0.165202,-0.158865,0.263823,0.183052,-0.147806,0.236897,0.193725,-0.178071,0.240488,0.171148,-0.223967,0.240228,0.171609,-0.178029,0.223499,0.174473
2,0.022222,-0.155869,0.327289,0.181645,-0.221704,0.219979,0.174038,-0.188036,0.322516,0.164922,-0.197017,0.220604,0.167217,-0.201842,0.243796,0.164827,-0.246651,0.325697,0.179447,-0.250938,0.229771,0.193146,-0.244197,0.259563,0.184172,-0.214833,0.322530,0.165202,-0.158879,0.263851,0.182985,-0.147822,0.236895,0.193722,-0.178074,0.240488,0.171175,-0.223974,0.240225,0.171599,-0.178034,0.223483,0.174470
3,0.033333,-0.155880,0.327288,0.181636,-0.221712,0.219961,0.174024,-0.188047,0.322518,0.164917,-0.197019,0.220591,0.167219,-0.201835,0.243799,0.164766,-0.246674,0.325690,0.179439,-0.250935,0.229763,0.193142,-0.244203,0.259556,0.184174,-0.214858,0.322514,0.165192,-0.158889,0.263848,0.182981,-0.147832,0.236890,0.193715,-0.178087,0.240480,0.171141,-0.223979,0.240221,0.171591,-0.178043,0.223465,0.174463
4,0.044444,-0.155891,0.327291,0.181632,-0.221717,0.219952,0.174016,-0.188059,0.322519,0.164910,-0.197025,0.220579,0.167213,-0.201836,0.243802,0.164757,-0.246684,0.325694,0.179438,-0.250941,0.229759,0.193129,-0.244211,0.259554,0.184165,-0.214869,0.322513,0.165189,-0.158893,0.263845,0.182974,-0.147841,0.236887,0.193711,-0.178106,0.240478,0.171126,-0.223988,0.240225,0.171585,-0.178046,0.223456,0.174459
5,0.055556,-0.155901,0.327293,0.181622,-0.221721,0.219944,0.173997,-0.188064,0.322518,0.164904,-0.196936,0.220660,0.166820,-0.201857,0.243802,0.164804,-0.246691,0.325696,0.179431,-0.250952,0.229764,0.193095,-0.244211,0.259553,0.184161,-0.214874,0.322543,0.165147,-0.158942,0.263850,0.182947,-0.147849,0.236890,0.193690,-0.178100,0.240488,0.171120,-0.223995,0.240227,0.171571,-0.178053,0.223452,0.174439
6,0.066667,-0.155907,0.327293,0.181610,-0.221731,0.219940,0.173982,-0.188069,0.322520,0.164895,-0.196943,0.220654,0.166806,-0.201846,0.243810,0.164744,-0.246694,0.325702,0.179419,-0.250963,0.229770,0.193080,-0.244219,0.259556,0.184152,-0.214894,0.322530,0.165132,-0.158949,0.263850,0.182940,-0.147854,0.236890,0.193673,-0.178158,0.240481,0.171286,-0.224001,0.240229,0.171560,-0.178059,0.223445,0.174423
