Format Version,1.21,Take Name,mover cachete derecho2,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.20.46.480 AM,Total Frames in Take,3191,Total Exported Frames,3191,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:457,Unlabeled:457,Unlabeled:457,Unlabeled:464,Unlabeled:464,Unlabeled:464,Unlabeled:470,Unlabeled:470,Unlabeled:470,Unlabeled:639,Unlabeled:639,Unlabeled:639,Unlabeled:703,Unlabeled:703,Unlabeled:703,Unlabeled:721,Unlabeled:721,Unlabeled:721,Unlabeled:722,Unlabeled:722,Unlabeled:722,Unlabeled:723,Unlabeled:723,Unlabeled:723,Unlabeled:726,Unlabeled:726,Unlabeled:726,Unlabeled:728,Unlabeled:728,Unlabeled:728,Unlabeled:729,Unlabeled:729,Unlabeled:729,Unlabeled:731,Unlabeled:731,Unlabeled:731,Unlabeled:733,Unlabeled:733,Unlabeled:733,Unlabeled:739,Unlabeled:739,Unlabeled:739,Unlabeled:740,Unlabeled:740,Unlabeled:740,Unlabeled:741,Unlabeled:741,Unlabeled:741,Unlabeled:742,Unlabeled:742,Unlabeled:742,Unlabeled:745,Unlabeled:745,Unlabeled:745,Unlabeled:751,Unlabeled:751,Unlabeled:751
,,"8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701C9","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D0","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E35701D6","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E357027F","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702BF","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D1","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D2","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D3","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D6","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D8","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702D9","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DB","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702DD","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E3","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E4","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E5","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E6","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702E9","8392B20CF49E35702EF","8392B20CF49E35702EF","8392B20CF49E35702EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.157357,0.309261,0.185633,-0.173312,0.232193,0.185358,-0.171442,0.207736,0.189490,-0.183411,0.310680,0.186714,-0.214808,0.250284,0.207350,-0.169061,0.303382,0.186840,-0.130449,0.250308,0.203452,-0.194913,0.209055,0.195151,-0.173540,0.182143,0.185800,-0.213795,0.314559,0.201592,-0.120587,0.222874,0.213729,-0.222641,0.220977,0.216330,-0.229165,0.285186,0.224075,-0.174505,0.256565,0.169310,-0.195677,0.230078,0.193224,-0.125941,0.311086,0.201045,-0.112985,0.281971,0.220842,-0.152122,0.210094,0.194357,-0.150960,0.228387,0.191246
1,0.011111,-0.157403,0.309268,0.185652,-0.173321,0.232198,0.185348,-0.171450,0.207739,0.189484,-0.183425,0.310688,0.186713,-0.214819,0.250286,0.207349,-0.169079,0.303381,0.186874,-0.130456,0.250314,0.203452,-0.194924,0.209051,0.195147,-0.173548,0.182149,0.185794,-0.213811,0.314560,0.201587,-0.120598,0.222882,0.213728,-0.222656,0.220976,0.216325,-0.229178,0.285185,0.224073,-0.174509,0.256570,0.169307,-0.195689,0.230078,0.193222,-0.125956,0.311096,0.201048,-0.112998,0.281980,0.220849,-0.152127,0.210098,0.194357,-0.150964,0.228391,0.191245
2,0.022222,-0.157420,0.309272,0.185648,-0.173337,0.232200,0.185348,-0.171459,0.207745,0.189478,-0.183489,0.310674,0.186686,-0.214832,0.250287,0.207343,-0.169095,0.303386,0.186870,-0.130470,0.250317,0.203451,-0.194938,0.209048,0.195141,-0.173554,0.182141,0.185793,-0.213827,0.314561,0.201589,-0.120612,0.222885,0.213725,-0.222673,0.220977,0.216312,-0.229195,0.285184,0.224066,-0.174523,0.256573,0.169301,-0.195702,0.230078,0.193218,-0.125976,0.311096,0.201021,-0.113027,0.281985,0.220837,-0.152139,0.210099,0.194351,-0.150977,0.228397,0.191241
3,0.033333,-0.157447,0.309284,0.185634,-0.173350,0.232202,0.185340,-0.171474,0.207751,0.189470,-0.183510,0.310675,0.186683,-0.214847,0.250283,0.207348,-0.169110,0.303386,0.186871,-0.130487,0.250321,0.203442,-0.194953,0.209045,0.195130,-0.173570,0.182146,0.185782,-0.213845,0.314561,0.201580,-0.120625,0.222890,0.213709,-0.222693,0.220973,0.216310,-0.229212,0.285179,0.224065,-0.174540,0.256575,0.169298,-0.195716,0.230079,0.193215,-0.125998,0.311099,0.201013,-0.113048,0.281990,0.220831,-0.152153,0.210100,0.194344,-0.150995,0.228398,0.191234
4,0.044444,-0.157480,0.309267,0.185622,-0.173343,0.232176,0.185357,-0.171491,0.207754,0.189464,-0.183531,0.310673,0.186670,-0.214862,0.250282,0.207337,-0.169132,0.303386,0.186859,-0.130503,0.250323,0.203427,-0.194991,0.209057,0.195066,-0.173586,0.182146,0.185777,-0.213871,0.314555,0.201572,-0.120640,0.222892,0.213697,-0.222718,0.220970,0.216301,-0.229232,0.285175,0.224065,-0.174557,0.256571,0.169295,-0.195743,0.230059,0.193232,-0.126032,0.311105,0.201007,-0.113068,0.281991,0.220822,-0.152169,0.210101,0.194333,-0.151014,0.228397,0.191225
5,0.055556,-0.157517,0.309255,0.185596,-0.173408,0.232215,0.185273,-0.171526,0.207750,0.189401,-0.183551,0.310668,0.186665,-0.214880,0.250275,0.207332,-0.169155,0.303383,0.186855,-0.130522,0.250325,0.203415,-0.195012,0.209050,0.195048,-0.173600,0.182147,0.185763,-0.213892,0.314550,0.201566,-0.120661,0.222893,0.213678,-0.222746,0.220965,0.216290,-0.229257,0.285168,0.224061,-0.174581,0.256565,0.169289,-0.195776,0.230071,0.193215,-0.126064,0.311114,0.200972,-0.113092,0.281992,0.220810,-0.152188,0.210104,0.194321,-0.151033,0.228397,0.191217
