Format Version,1.21,Take Name,sonreir1,Capture Frame Rate,90.000000,Export Frame Rate,90.000000,Capture Start Time,2020-06-26 11.03.09.593 AM,Total Frames in Take,3189,Total Exported Frames,3189,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:662,Unlabeled:662,Unlabeled:662,Unlabeled:663,Unlabeled:663,Unlabeled:663,Unlabeled:666,Unlabeled:666,Unlabeled:666,Unlabeled:667,Unlabeled:667,Unlabeled:667,Unlabeled:668,Unlabeled:668,Unlabeled:668,Unlabeled:670,Unlabeled:670,Unlabeled:670,Unlabeled:672,Unlabeled:672,Unlabeled:672,Unlabeled:673,Unlabeled:673,Unlabeled:673,Unlabeled:676,Unlabeled:676,Unlabeled:676,Unlabeled:677,Unlabeled:677,Unlabeled:677,Unlabeled:678,Unlabeled:678,Unlabeled:678,Unlabeled:683,Unlabeled:683,Unlabeled:683,Unlabeled:684,Unlabeled:684,Unlabeled:684,Unlabeled:685,Unlabeled:685,Unlabeled:685
,,"8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570296","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E3570297","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029A","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029B","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029C","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E357029E","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A0","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A1","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A4","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A5","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702A6","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AC","8392B20CF49E35702AD","8392B20CF49E35702AD","8392B20CF49E35702AD"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.152396,0.321342,0.176278,-0.219288,0.215424,0.169165,-0.183454,0.317665,0.159572,-0.194675,0.215564,0.163632,-0.198462,0.239983,0.160956,-0.240766,0.322146,0.174048,-0.248042,0.226646,0.189178,-0.240463,0.256210,0.180372,-0.209696,0.317723,0.159742,-0.155566,0.258601,0.179075,-0.145249,0.231318,0.189817,-0.175123,0.236000,0.167046,-0.220637,0.236726,0.167889,-0.175596,0.217698,0.169816
1,0.011111,-0.152426,0.321349,0.176266,-0.219304,0.215432,0.169157,-0.183462,0.317699,0.159562,-0.194691,0.215574,0.163615,-0.198478,0.240008,0.160922,-0.240780,0.322155,0.174042,-0.248062,0.226656,0.189162,-0.240476,0.256218,0.180368,-0.209707,0.317728,0.159738,-0.155582,0.258608,0.179067,-0.145269,0.231326,0.189800,-0.175159,0.236015,0.167053,-0.220656,0.236729,0.167853,-0.175613,0.217701,0.169802
2,0.022222,-0.152440,0.321351,0.176264,-0.219321,0.215443,0.169141,-0.183474,0.317704,0.159556,-0.194709,0.215582,0.163592,-0.198492,0.240019,0.160911,-0.240793,0.322165,0.174036,-0.248087,0.226669,0.189146,-0.240517,0.256249,0.180301,-0.209718,0.317756,0.159703,-0.155595,0.258612,0.179062,-0.145287,0.231330,0.189780,-0.175197,0.236020,0.167062,-0.220698,0.236737,0.167886,-0.175631,0.217709,0.169787
3,0.033333,-0.152453,0.321357,0.176259,-0.219339,0.215445,0.169134,-0.183494,0.317690,0.159548,-0.194726,0.215589,0.163579,-0.198520,0.240011,0.160929,-0.240804,0.322175,0.174036,-0.248112,0.226680,0.189133,-0.240530,0.256258,0.180299,-0.209729,0.317766,0.159695,-0.155607,0.258614,0.179059,-0.145297,0.231330,0.189763,-0.175213,0.236027,0.167056,-0.220719,0.236750,0.167894,-0.175653,0.217714,0.169783
4,0.044444,-0.152471,0.321353,0.176270,-0.219352,0.215448,0.169130,-0.183501,0.317722,0.159534,-0.194740,0.215586,0.163583,-0.198535,0.240014,0.160923,-0.240822,0.322174,0.174049,-0.248130,0.226684,0.189121,-0.240541,0.256263,0.180292,-0.209738,0.317770,0.159696,-0.155619,0.258618,0.179049,-0.145307,0.231332,0.189748,-0.175242,0.236031,0.166996,-0.220732,0.236754,0.167889,-0.175662,0.217715,0.169773
5,0.055556,-0.152484,0.321361,0.176272,-0.219366,0.215446,0.169124,-0.183515,0.317727,0.159528,-0.194795,0.215562,0.163612,-0.198543,0.240016,0.160920,-0.240855,0.322173,0.174045,-0.248147,0.226688,0.189112,-0.240586,0.256263,0.180304,-0.209746,0.317768,0.159690,-0.155644,0.258637,0.179038,-0.145313,0.231338,0.189738,-0.175246,0.236026,0.166977,-0.220742,0.236753,0.167888,-0.175674,0.217716,0.169768
6,0.066667,-0.152502,0.321360,0.176261,-0.219370,0.215440,0.169116,-0.183529,0.317724,0.159521,-0.194801,0.215554,0.163614,-0.198554,0.240015,0.160924,-0.240869,0.322166,0.174035,-0.248157,0.226681,0.189101,-0.240594,0.256256,0.180303,-0.209757,0.317763,0.159686,-0.155654,0.258633,0.179036,-0.145315,0.231341,0.189730,-0.175260,0.236023,0.166981,-0.220788,0.236754,0.167860,-0.175679,0.217712,0.169763
